"Context", "Name", "Priority", "Favorite", "Start Date", "End Date", "Due Date", "Notes"
"Errand", "Get Vacuum Bags", "5", "checked", "2011-12-11", "2011-12-12", "2011-12-12", "Don't forget to get the model fj2 bags." 
"Errand","Buy Broom", "5", "unchecked", "2011-12-11", "2011-12-11", "2011-12-11", "Large broom for garage."
"Errand", "Buy blades for mower", "5", "checked", "2011-12-11", "2011-12-14", "2011-12-16", "Honda SRT Model 5"
"Errand", "Buy pansies", "5", "unchecked", "2011-12-11", "2011-12-14", "2011-12-16", "For front flowerbed, purple and red."
"Errand", "Buy Grass Seed", "3", "checked", "2011-12-11", "2011-12-14", "2011-12-16", "Get fescue for backyard."
"Home", "Vacuum House", "5", "checked", "2011-12-11", "2011-12-14", "2011-12-16", "Better get this done before my wife gets home."
"Home", "Sweep Garage", "3", "checked", "2011-12-11", "2011-12-14", "2011-12-16", "Some useful notes should go here."
"Home", "Mow Lawn", "5", "checked", "2011-12-11", "2011-12-14", "2011-12-16", "It's getting tall!!"
"Home", "Plant Flowers", "5", "checked", "2011-12-11", "2011-12-14", "2011-12-16", "Should have them to plant soon."
"Home", "Plant Grass Seed", "5", "checked", "2011-12-11", "2011-12-14", "2011-12-16", "Winter is coming, better hurry!"
"Office", "Order Office Supplies", "5", "checked", "2011-12-11", "2011-12-14", "2011-12-16", "Some useful notes should go here."
"Office", "Clean Desk", "5", "checked", "2011-12-11", "2011-12-14", "2011-12-16", "Some useful notes should go here."
"Office", "Reorganize Filecabinet", "5", "checked", "2011-12-11", "2011-12-14", "2011-12-16", "Some useful notes should go here."
"Office", "Meeting with Mike", "5", "checked", "2011-12-11", "2011-12-14", "2011-12-16", "Some useful notes should go here."
"Office", "Prepare Sales Presentation", "5", "checked", "2011-12-11", "2011-12-14", "2011-12-16", "Some useful notes should go here."
"Calls", "Call Joe from Shipping", "5", "checked", "2011-12-11", "2011-12-14", "2011-12-16", "Some useful notes should go here."
"Calls", "Call Car Dealer About Repair Status", "5", "checked", "2011-12-11", "2011-12-14", "2011-12-16", "Some useful notes should go here."
"Calls", "Call AT&T About Texting Plan", "5", "checked", "2011-12-11", "2011-12-14", "2011-12-16", "Some useful notes should go here."
"Calls", "Call Client to Setup Meeting", "5", "checked", "2011-12-11", "2011-12-14", "2011-12-16", "Some useful notes should go here."
"Calls", "Call City About Utility Bill", "5", "checked", "2011-12-11", "2011-12-14", "2011-12-16", "Some useful notes should go here."
"People", "Mike is preparing operations presentation", "5", "checked", "2011-12-11", "2011-12-14", "2011-12-16", "Some useful notes should go here."
"People", "Jane is organizing lunch party", "5", "checked", "2011-12-11", "2011-12-14", "2011-12-16", "Some useful notes should go here."
"People", "Joanne is creating spreadsheet for monthly budget", "5", "checked", "2011-12-11", "2011-12-14", "2011-12-16", "Some useful notes should go here."
"People", "Joe is revising business plan", "5", "checked", "2011-12-11", "2011-12-14", "2011-12-16", "Some useful notes should go here."
"People", "Judy is revisiting our marketing plan", "5", "checked", "2011-12-11", "2011-12-14", "2011-12-16", "Some useful notes should go here."
"Waiting", "Research into new product line", "5", "checked", "2011-12-11", "2011-12-14", "2011-12-16", "Some useful notes should go here."
"Waiting", "Remodel Kitchen", "5", "checked", "2011-12-11", "2011-12-14", "2011-12-16", "Some useful notes should go here."
"Waiting", "Buy new car", "5", "checked", "2011-12-11", "2011-12-14", "2011-12-16", "Some useful notes should go here."
"Waiting", "Rewire Cat 6 cabling throughout house", "5", "checked", "2011-12-11", "2011-12-14", "2011-12-16", "Some useful notes should go here."
"Waiting", "Revamp company web site", "5", "checked", "2011-12-11", "2011-12-14", "2011-12-16", "Some useful notes should go here."